Unnamed: 0,CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,per_slope_change_0,per_slope_change_1,per_slope_change_2,per_slope_change_3,per_slope_change_4,per_slope_change_5,per_slope_change_6,per_slope_change_7,slope_0,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,dif_first,dif_last
60,NMC-G1,908449,157,157_908449,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958112359,0.9538682,0.926033352,0.720980644,0.62202622,0.378269059,0.45708509,0.358506658,0.362443187,-0.89867777,5.558401,6.3667684,-0.5174197,1.4633276,-1.3233385,-2.2507408,-1.039933,-0.37698877,-0.03819734,-0.25051346,-1.8454747,-0.8905898,-2.1938145,0.70934457,-0.88720614,0.035428766,0.041887640999999975,0.003936529000000022
85,NMC-G1,908449,170,170_908449,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986038357,0.926004867,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.017002807,3.2998743,-1.2696908,1.145319,-10.532726,0.65859187,-0.8845942,-0.7873258,-0.79289955,-0.12565506,-0.54030097,0.14571421,0.31260344,-2.979963,-4.9425426,-0.5703979,-0.12130891,-0.02512313,0.013961643000000024,0.002791459999999999
104,NMC-G1,908449,180,180_908449,2,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.948637722,0.558269437,0.421871811,0.213700768,0.333375535,0.440845346,0.433406529,0.248842767,0.273227856,6.6002917,-0.65059245,0.52620745,-1.5748866,-0.10198432,-1.0692177,23.81093,-1.132123,-0.46226048,-3.5133145,-1.2275785,-1.8735394,1.0770727,0.96722823,-0.066949286,-1.661074,0.219466,0.05136227800000004,0.024385089
112,NMC-G1,908449,331,331_908449,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.983466282,0.963488947,0.843690977,0.795708015,0.612517667,0.325653858,0.238840753,0.229491708,0.187304966,0.2082771,4.9966936,-0.5994673,2.8178172,0.56593347,-0.6973717,-0.8923083,3.512411,-0.14880359,-0.17979598,-1.0781814,-0.43184695,-1.6487128,-2.5817745,-0.7813179,-0.08414144,-0.37968078,0.01653371800000003,0.042186742
118,JHH-2,1240157,219,219_1240157,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997673194,0.991470406,0.985402555,0.954021127,0.397550215,0.359142023,0.383976144,0.380091685,0.344508554,1.6658299,-0.021765113,4.1717873,16.732487,-0.93097895,-1.6465833,-1.1564153,8.160441,-0.020941079,-0.055825353,-0.05461031,-0.28243288,-5.0082374,-0.34567374,0.22350688,-0.034959916,-0.32024828,0.0023268060000000146,0.03558313099999999
235,LU-65,724863,219,219_724863,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.945340046,0.929538852,0.865422059,0.736228335,0.484398701,0.425028605,0.371162283,0.32865329,0.329384544,-0.71091837,3.0577173,1.0149755,0.9492401,-0.7642449,-0.09270334,-0.21084201,-1.0172025,-0.49193966,-0.14221072,-0.5770509,-1.1627436,-2.2664664,-0.53433096,-0.4847967,-0.3825812,0.006581337,0.05465995400000001,0.0007312540000000145
239,LU-65,724863,88,88_724863,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.948215557,0.936332143,0.890013538,0.860778971,0.786730771,0.692241665,0.639678405,0.54791421,0.491523369,-0.7705223,2.8977678,-0.36883885,1.5329022,0.27604854,-0.44371098,0.74578655,-0.385481,-0.4660601,-0.1069504,-0.41686782,-0.2631108,-0.6664339,-0.85040194,-0.47306928,-0.82587796,-0.5075177,0.05178444299999996,0.05639084099999997
475,A375,906793,308,308_906793,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.987088013,0.992126048,0.986602223,0.879335776,0.558519824,0.425561167,0.223424024,0.006358822,0.00514361,-1.3901823,-2.0964222,18.418966,1.9908302,-0.58556074,0.5203004,0.07385111,-0.99440163,-0.11620778,0.045342207,-0.049714204,-0.96539843,-2.8873427,-1.1966282,-1.8192344,-1.9535869,-0.010936909,0.012911986999999958,0.0012152120000000002
489,OC-314,909257,179,179_909257,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.991569706,0.907001731,0.882468676,0.588431255,0.392755098,0.349110105,0.325086975,0.311593855,0.312725816,9.031427,-0.7099016,10.985371,-0.33451986,-0.77695286,-0.44957912,-0.4383276,-1.083891,-0.07587272,-0.7611117,-0.22079729,-2.6463373,-1.7610849,-0.39280498,-0.21620806,-0.12143809,0.010187567,0.00843029399999995,0.0011319610000000146
504,OC-314,909257,301,301_909257,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.973453452,0.909877281,0.889255694,0.789904409,0.811378175,0.729900341,0.420842193,0.208592894,0.207136548,1.3948946,-0.6756395,3.8178277,-1.2161397,-4.794297,2.7931569,-0.31323832,-0.9931385,-0.23891884,-0.57218546,-0.18559437,-0.89416164,0.19326384,-0.73330045,-2.7815237,-1.9102439,-0.013107152,0.026546548000000003,0.0014563459999999973
505,OC-314,909257,235,235_909257,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.946987755,0.981492092,0.974210727,0.860664938,0.999298519,0.90274297,0.768763289,0.04341917,0.033800332,-1.6508751,-1.2110274,14.594031,-2.2209482,-1.6964805,0.38759196,4.413837,-0.9867389,-0.47711027,0.3105392,-0.06553226,-1.0219121,1.2477016,-0.86899984,-1.2058172,-6.5280976,-0.08656954,0.05301224500000001,0.009618837999999998
521,OC-314,909257,291,291_909257,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.989769105,0.957361496,0.988681715,0.972724824,0.807182565,0.155841201,0.016839027,0.008751721,0.003399916,2.1676183,-1.966447,-1.5094774,9.374308,2.9345937,-0.7865909,-0.94181883,-0.33824623,-0.09207809,-0.29166824,0.2818819,-0.14361246,-1.4898798,-5.862072,-1.2510196,-0.07278576,-0.04816625,0.010230894999999962,0.005351805000000001
527,ESO26,1503366,219,219_1503366,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.976630295,0.994375256,0.907426144,0.668105207,0.166151653,0.18540871,0.17790095,0.184143438,0.177687675,-1.7593138,-5.899933,1.7524257,1.0974071,-1.0383642,-1.3898704,-1.8314712,-2.0341659,-0.21032757,0.15970463,-0.78254193,-2.1538885,-4.517581,0.1733135,-0.067569815,0.05618236,-0.05810188,0.02336970500000002,0.006455763000000003
