Unnamed: 0,CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,per_slope_change_0,per_slope_change_1,per_slope_change_2,per_slope_change_3,per_slope_change_4,per_slope_change_5,per_slope_change_6,per_slope_change_7,slope_0,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,dif_first,dif_last
121857,BE-13,906763,32,32_906763,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.945149459,0.934289646,0.78201591,0.250407764,0.211936939,0.189359913,0.155980003,0.114060605,0.103999535,-0.8020101,13.021717,2.4911358,-0.92763317,-0.413139,0.47849083,0.2558272,-0.75999016,-0.49365467,-0.09773862,-1.3704634,-4.784474,-0.3462373,-0.20319317,-0.30041924,-0.37727466,-0.09054964,0.054850540999999975,0.010061069999999991
121876,RERF-LC-KJ,1298537,229,229_1298537,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.99175823,0.828215976,0.813002407,0.757053837,0.595157235,0.652158831,0.584663046,0.503285602,0.45515418,18.843094,-0.90697485,2.6775486,1.8936689,-1.3520868,-2.184103,0.20566642,-0.4085412,-0.074175954,-1.4718804,-0.13692193,-0.50353706,-1.4570695,0.5130149,-0.60746247,-0.7323971,-0.4331827,0.008241770000000037,0.048131422000000035
121915,CHP-212,906820,133,133_906820,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.976917856,0.994295129,0.847084969,0.483104916,0.281873679,0.280268784,0.117301827,0.111544461,0.106328553,-1.7528443,-9.471427,1.4725196,-0.44713676,-0.99202466,100.544334,-0.96467155,-0.09404701,-0.20773923,0.15639532,-1.3248916,-3.2758205,-1.8110808,-0.014443965,-1.4667028,-0.051816326,-0.046943154,0.02308214399999997,0.005215907999999991
121941,Ishikawa(Heraklio)02ER-,1240156,182,182_1240156,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.99832569,0.600308766,0.434491077,0.370994584,0.404093923,0.2887929,0.093391242,0.017617218,0.037904035,236.72218,-0.58339036,-0.61707056,-1.521278,-4.4834867,0.69470894,-0.6122141,-1.2677279,-0.01506865,-3.5821524,-1.4923593,-0.5714683,0.29789385,-1.0377092,-1.7586151,-0.68196625,0.18258137,0.0016743099999999567,0.020286817000000002
121965,TGW,910780,152,152_910780,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.969252044,0.952609063,0.920114974,0.931933112,0.879674886,0.940962656,0.674906652,0.465387175,0.419364445,-0.45872855,0.95241773,-1.3637006,-5.4218726,-2.172788,-5.341095,-0.21249843,-0.7803416,-0.27673155,-0.14978689,-0.29244658,0.106363006,-0.47032365,0.5515899,-2.394504,-1.8856757,-0.41420445,0.03074795600000002,0.04602273000000001
122010,IOSE-397,1479992,272,272_1479992,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.911566092,0.834668471,0.674259847,0.386194183,0.100267641,0.046346413,0.02826614,0.014877448,0.009789575,-0.13045108,1.0860021,0.7958245,-0.007426262,-0.81141573,-0.664691,-0.25948626,-0.6199873,-0.7959053,-0.6920786,-1.4436774,-2.5925913,-2.573338,-0.48529106,-0.16272248,-0.12049823,-0.04579086,0.08843390799999995,0.005087873
122014,K052,907284,295,295_907284,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.931391163,0.828338238,0.754680043,0.636909953,0.601280432,0.532412348,0.503296176,0.468412208,0.426696733,0.502036,-0.2852388,0.5988723,-0.6974656,0.9328954,-0.57721853,0.19809699,0.19583476,-0.6174794,-0.9274762,-0.662924,-1.0599308,-0.32066554,-0.61981297,-0.2620454,-0.3139558,-0.3754393,0.06860883699999998,0.041715475
122017,RMG-I,909699,344,344_909699,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.973897819,0.96985455,0.984907923,0.964923066,0.579679137,0.024773968,0.010293306,0.006889621,0.007692102,-0.845098,-4.723063,-2.3275976,18.276802,0.4403999,-0.97390425,-0.7649497,-1.2357683,-0.23491967,-0.03638953,0.13548051,-0.17986359,-3.4671948,-4.994147,-0.13032597,-0.030633166,0.00722233,0.026102180999999947,0.0008024809999999999
122018,HT-144,907067,179,179_907067,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986379828,0.946050726,0.900551678,0.823348712,0.758482024,0.521503659,0.552776846,0.47401292,0.386337438,1.9609776,0.12819338,0.69680524,-0.15979087,2.653316,-1.1319665,-3.518578,0.11314201,-0.12258178,-0.3629619,-0.4094912,-0.69482684,-0.58379984,-2.1328053,0.2814587,-0.7088757,-0.78907937,0.013620171999999986,0.08767548200000003
122086,MY-M12,1330960,134,134_1330960,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.947765561,0.815759166,0.764119706,0.813146885,0.721062729,0.285027463,0.123299402,0.15759129,0.200217113,1.5271924,-0.60881066,-1.9494131,-2.8782253,3.7351828,-0.629094,-1.2120342,0.24302983,-0.4701097,-1.1880577,-0.46475545,0.44124487,-0.82875735,-3.9243174,-1.4555527,0.30862692,0.38363248,0.05223443900000002,0.04262582300000001
122146,OVMIU,1240200,272,272_1240200,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.933735435,0.87565207,0.970610259,0.779568451,0.622910482,0.419362814,0.053614918,0.021200583,0.012379052,-0.123462856,-2.6348605,-3.0118525,-0.17998117,0.2993133,0.79686594,-0.9113752,-0.727851,-0.5963811,-0.5227502,0.8546236,-1.7193766,-1.4099212,-1.8319293,-3.2917314,-0.29172903,-0.079393774,0.066264565,0.008821530999999999
122165,TE-1,753621,51,51_753621,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.945213013,0.940802578,0.887686438,0.559376374,0.582707763,0.372443644,0.321814339,0.218111852,0.190627781,-0.91949826,11.043259,5.1809855,-1.0710652,-10.012067,-0.7592108,1.0482693,-0.7349719,-0.49308282,-0.03969401,-0.47804525,-2.9547908,0.20998259,-1.8923771,-0.4556639,-0.9333223,-0.24735668,0.054786986999999954,0.027484071
122170,SK-MG-1,909729,245,245_909729,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.937643369,0.986935601,0.951461879,0.989135354,0.829859243,0.979036773,0.873617225,0.063717378,0.006874983,-1.7904893,-1.7196617,-2.0620098,-5.2278028,-1.9365973,-1.7066717,6.6826367,-0.92981553,-0.56120986,0.4436304,-0.31926385,0.3390613,-1.4334843,1.3425975,-0.9487757,-7.289099,-0.5115816,0.062356630999999996,0.056842395000000004
122194,NCI-H2347,687820,273,273_687820,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.962376235,0.912818345,0.858363298,0.887704066,0.745418638,0.54823105,0.325416689,0.208241322,0.142260449,0.3171959,0.09881854,-1.5388074,-5.8494024,0.38585997,0.12996149,-0.4741122,-0.4369048,-0.33861387,-0.44602078,-0.49009588,0.26406726,-1.2805684,-1.7746885,-2.0053296,-1.0545783,-0.59382796,0.037623764999999976,0.065980873
122206,ME-1,1330942,268,268_1330942,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.953264051,0.963920129,0.808908653,0.636554063,0.404657936,0.277888171,0.148302813,0.087288412,0.04125108,-1.2280056,-15.546792,0.111882806,0.34545922,-0.4533338,0.022210479,-0.5291567,-0.24546772,-0.42062348,0.09590453,-1.3951032,-1.5511913,-2.0870647,-1.1409278,-1.1662683,-0.5491296,-0.414336,0.046735949,0.04603733199999999
122235,NCI-H220,1330974,219,219_1330974,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.933262989,0.923612697,0.868549133,0.824910292,0.451764913,0.417166895,0.350449215,0.337223074,0.40193693,-0.8553982,4.705901,-0.20748323,7.550763,-0.90728,0.928367,-0.8017599,-5.892881,-0.60063297,-0.08685261,-0.49557242,-0.39274946,-3.3583076,-0.31138223,-0.6004592,-0.1190351,0.5824246,0.06673701099999996,0.06471385600000001
122241,639-V,906798,133,133_906798,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.962651497,0.845373851,0.633128755,0.180684755,0.042761683,0.051731061,0.018892414,0.01426805,0.020077762,2.1400886,0.8097663,1.1317055,-0.69516003,-1.0650318,-4.6611958,-0.8591792,-2.2563262,-0.33613658,-1.0554986,-1.9102058,-4.071996,-1.2413074,0.0807244,-0.29554784,-0.041619286,0.052287403,0.03734850300000003,0.005809712
122259,NTERA-S-cl-D1,908454,265,265_908454,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.967067629,0.961549679,0.985313981,0.913095643,0.480295344,0.072855346,0.373999333,0.392084848,0.436656523,-0.83244765,-5.3067565,-4.038947,4.992944,-0.058595717,-1.7391125,-0.93994397,1.4644978,-0.2963916,-0.0496611,0.21387826,-0.64996475,-3.8952022,-3.66696,2.710296,0.1627696,0.4011453,0.032932371000000016,0.04457167500000003
122264,CTV-1,753548,133,133_753548,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.917915816,0.959410072,0.515586297,0.282078466,0.118587526,0.059168147,0.028376711,0.024245681,0.019922696,-1.5055084,-11.69603,-0.47387254,-0.29984826,-0.63655853,-0.48179471,-0.86583835,0.04646659,-0.7387576,0.37344825,-3.9944136,-2.1015706,-1.4714183,-0.5347744,-0.27712294,-0.037179276,-0.03890687,0.08208418399999995,0.004322985000000001
122272,CPC-N,753547,301,301_753547,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.994624908,0.858128049,0.761543287,0.667277008,0.650449851,0.455523306,0.301525841,0.249653585,0.317826345,24.394348,-0.29240268,-0.024004698,-0.821494,10.584084,-0.20997179,-0.66316164,-2.3142433,-0.048375785,-1.2284715,-0.8692631,-0.8483967,-0.15144393,-1.7543391,-1.3859774,-0.4668503,0.61355484,0.00537509199999997,0.06817276
122299,REH,909696,196,196_909696,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.914924458,0.807094986,0.658736212,0.477809057,0.289584391,0.208872144,0.019773588,0.009500054,0.01035263,0.2674551,0.37586486,0.21952474,0.040333748,-0.5711918,1.3428726,-0.945671,-1.0829877,-0.76568,-0.97046506,-1.3352288,-1.6283445,-1.6940217,-0.7264104,-1.701887,-0.09246181,0.007673189,0.085075542,0.000852575999999999
