DRUG_ID,COSMIC_ID,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
302,1290922,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.94453507,0.898826223,0.866427551,0.763920297,0.656923419,0.693908507,0.633029033,0.568699898,0.530702984,0.27629928902992595,1.326406527862395,-2.934387453335777,0.43658104201070563
157,908449,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958112359,0.9538682,0.926033352,0.720980644,0.62202622,0.378269059,0.45708509,0.358506658,0.362443187,0.4491664645736122,1.6142126075897414,-11.144872802470855,0.36835375114091606
170,908449,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986038357,0.926004867,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.017002807,0.5765650873181575,1.0576788652823619,-29.296109297157294,0.024040382440932016
180,908449,0.512,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.948637722,0.558269437,0.421871811,0.213700768,0.333375535,0.440845346,0.433406529,0.248842767,0.273227856,0.1792332208634171,1.455039804023119,-22.75363371735166,0.331865821489984
331,908449,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.983466282,0.963488947,0.843690977,0.795708015,0.612517667,0.325653858,0.238840753,0.229491708,0.187304966,0.529826472937791,1.248430431209924,-10.386377844216574,0.18083810964097483
219,1240157,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997673194,0.991470406,0.985402555,0.954021127,0.397550215,0.359142023,0.383976144,0.380091685,0.344508554,0.4881352412569795,1.595463817111198,-50.96146375213421,0.36690649417184945
179,1240157,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.940281845,0.985704117,0.859315636,0.771543174,0.7535718,0.661174078,0.636237551,0.572948281,0.504306234,0.4488975558437182,1.4055860082791822,-3.355448805092609,0.3891892602568732
272,1240157,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.939213159,0.994635279,0.921138967,0.917316,0.741429907,0.43399417,0.187652691,0.084508909,0.018691247,0.6440992424520731,1.0464011028753437,-12.058561625489082,0.01932685752176628
328,1240157,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.931028242,0.833251738,0.628566687,0.578391767,0.315184217,0.196382606,0.2032507,0.19798086,0.155113921,0.36808879564220187,1.1240018111817762,-7.43391079137154,0.14888953137599234
219,724863,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.945340046,0.929538852,0.865422059,0.736228335,0.484398701,0.425028605,0.371162283,0.32865329,0.329384544,0.4360772374433686,1.559095911344008,-11.251009417064305,0.3348793447055366
88,724863,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.948215557,0.936332143,0.890013538,0.860778971,0.786730771,0.692241665,0.639678405,0.54791421,0.491523369,0.6477625483932918,1.3772670157287397,-3.877514798982069,0.29985516519678823
346,724863,2.5,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.936000963,0.881016144,0.752634813,0.403404069,0.344546148,0.311679678,0.298274332,0.286745923,0.295996037,0.34417494456145414,1.5128381554621928,-18.25532591437809,0.29970039788161024
308,906793,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.987088013,0.992126048,0.986602223,0.879335776,0.558519824,0.425561167,0.223424024,0.006358822,0.00514361,0.6145981400376304,0.9840114508592985,-9.417478884764655,2.7224445265126945e-20
179,909257,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.991569706,0.907001731,0.882468676,0.588431255,0.392755098,0.349110105,0.325086975,0.311593855,0.312725816,0.39859625943906174,1.5079356129411654,-15.893670676446975,0.3195843331772285
301,909257,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.973453452,0.909877281,0.889255694,0.789904409,0.811378175,0.729900341,0.420842193,0.208592894,0.207136548,0.714367140791693,1.2406877617119023,-10.473991163333412,0.122822537322155
235,909257,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.946987755,0.981492092,0.974210727,0.860664938,0.999298519,0.90274297,0.768763289,0.04341917,0.033800332,0.8044662010413471,1.0849529738784054,-48.8944058289949,0.03072037675556134
291,909257,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.989769105,0.957361496,0.988681715,0.972724824,0.807182565,0.155841201,0.016839027,0.008751721,0.003399916,0.6067786207046342,1.0241620503717856,-29.004755210814462,0.007130841592148511
219,1503366,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.976630295,0.994375256,0.907426144,0.668105207,0.166151653,0.18540871,0.17790095,0.184143438,0.177687675,0.45032894761065045,1.2564997609777186,-40.3748087580019,0.17568463087063949
170,910851,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.954139647,0.57184125,0.045466899,0.067273589,0.053052414,0.052271225,0.038462837,0.025746336,0.02092605,0.22712473598588587,1.0621791847216517,-38.64803357934549,0.041064045891117534
152,910851,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.952771033,0.985562321,0.952548468,0.975680646,0.928642931,0.903160328,0.736462291,0.44165769,0.40384969,0.7674631885282083,1.7144114209332137,-19.726618720118985,0.3817288991489641
11,907281,0.1024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.941045867,0.950756118,0.927113198,0.806776933,0.473165477,0.170811672,0.042065869,0.044809786,0.04129982,0.5436574249209289,1.071834472148694,-15.14358724111684,0.03280941269302034
292,905965,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988508796,0.99865069,0.879695871,0.977455345,0.641695739,0.203784413,0.005400573,0.016469474,0.017498009,0.5900897529111437,1.0307883063507932,-19.79806353920977,0.007794901003568038
330,905965,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.941783246,0.95470616,0.918786859,0.888694457,0.824029121,0.309335157,0.114041339,0.08197353,0.100824873,0.6182368947071357,1.173264233947421,-24.986573122599243,0.09187044395986685
163,907281,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968138206,0.930584168,0.918439907,0.691007983,0.368530997,0.18927033,0.134822714,0.113163802,0.117981195,0.48398857598407463,1.1605566351135483,-14.277941435594734,0.11669193386227181
309,905965,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.962975306,0.662206681,0.233405083,0.090969062,0.039686746,0.039512669,0.027254058,0.02391126,0.021229452,0.2550452894348922,1.0087978810480847,-17.217032095814318,0.032327410490606244
303,1479993,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.941366448,0.892080031,0.846898959,0.744693682,0.740317617,0.552400407,0.554199494,0.388997043,0.334834243,0.7598048399811119,0.9160896030141245,-3.0632811702779192,2.2779778587886114e-25
346,1479993,2.5,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.989758463,0.960674936,0.827088441,0.41450467,0.120576686,0.076864012,0.052189105,0.038935831,0.039490977,0.4156897625054207,1.0549389468092067,-17.684146795786504,0.047411917331591794
