DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9,param_1,param_2,param_3,param_4
200_687819,0.9997966733333332,0.9635244833333334,0.8433197666666666,0.7402699500000001,0.5437992933333332,0.4201165466666666,0.31876118,0.2928741933333333,0.2593274566666666,0.23384257,-2.4573097621936864,0.9856197479714326,2.854841368461331,0.16491716530653044
1012_753594,0.9997966733333332,0.9490241,0.9020190633333334,0.8290132,0.7006183,0.5440425833333333,0.3917232666666666,0.2888344,0.1820922566666666,0.1611086716666666,-1.434167679657744,0.9709265570245428,2.9687574368499745,-0.055082903466351474
1024_905965,0.9997966733333332,0.9511604433333334,0.8834801533333333,0.7874062500000001,0.6651524666666667,0.52753432,0.39996303,0.2838489633333333,0.2032223766666666,0.1753561216666666,-1.03507941932063,0.9814909325521972,2.361046175501546,-0.13829806519767618
1149_1247871,0.9997966733333332,0.9471482,0.8791244166666666,0.7743124933333334,0.6210312133333333,0.47259817,0.3259100066666667,0.2077548733333333,0.1525651433333333,0.1352102686666666,-1.6346892752570927,0.9745063396089928,2.770514815563732,-0.05644572783409174
173_907280,0.9997966733333332,0.9538436566666668,0.9017201333333332,0.8143723333333334,0.7185642833333333,0.6097073966666666,0.4661436466666666,0.3215647633333333,0.2342179766666666,0.1991559933333333,-0.6518337132015132,0.9784608018639066,2.3692104366696065,-0.24440991155664146
53_1330982,0.9997966733333332,0.94407548,0.8797431666666666,0.7602654033333334,0.6271045000000001,0.4374178966666666,0.3059935666666666,0.20884793,0.134220215,0.1132665033333333,-1.6728485912288122,0.9739900587780164,2.7825286872321553,-0.06957522663703039
180_905955,0.9997966733333332,0.9501613366666668,0.8743196533333334,0.7714808666666667,0.6765692566666667,0.54262392,0.3975401766666667,0.3101766966666666,0.27755024,0.25372933,-1.4115847948618858,0.9783484717826606,2.4709865302730885,0.04945563674436786
167_753576,0.9997966733333332,0.9535780133333334,0.8866161966666667,0.7923781999999999,0.65431339,0.50687313,0.3920597033333333,0.3195918866666666,0.2439417066666666,0.21940832,-1.5375205622568355,0.981451966719642,2.604087245355993,0.04219346369394148
182_722058,0.9997966733333332,0.94852728,0.8752641033333334,0.79764751,0.6823533999999999,0.5541362233333333,0.37949762,0.2808480633333333,0.22170718,0.2005898733333333,-1.3857148440124039,0.9700069720646881,2.707003154370363,-0.023195010465330467
200_909756,0.9997966733333332,0.9548450433333334,0.8896843133333334,0.8329801166666667,0.69908895,0.5491714466666666,0.3978233066666667,0.2876292333333333,0.1918071099999999,0.1689442599999999,-1.396225522698697,0.9712222879602057,2.9178607981124367,-0.05446723422422985
274_1303900,0.9997966733333332,0.9422418633333334,0.8717873833333334,0.7682782766666666,0.6442043666666667,0.49709234,0.3259497199999999,0.25994816,0.2110446466666666,0.19334416,-1.770918443155604,0.9697910223780397,2.813942029306769,0.03547325332807771
1031_909738,0.9997966733333332,0.9566367533333334,0.8638813000000001,0.7600011333333333,0.6615037133333334,0.5516866733333333,0.37773362,0.2956237466666667,0.2284762333333333,0.18803689,-0.7714515829027766,0.988113200065604,2.0585929700993217,-0.20955505654995776
