DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
170_949170,1,0.998891013,0.923140519,0.972579149,0.998697805,0.91490643,0.812054189,0.374718359,0.047025478,0.008211891,0.749963105,1.027829753,-19.0164388,5.10E-21
178_907268,1,0.951399275,0.897980851,0.811108311,0.754492771,0.685520648,0.572721454,0.467759307,0.338846489,0.357725343,0.570669572,1.126119646,-3.982434883,0.175493553
185_905971,1,0.967709397,0.944772473,0.909925468,0.855852616,0.872577199,0.571487701,0.56518382,0.402606525,0.392245201,0.600648691,1.616072583,-8.569070671,0.353479117
173_753621,1,0.992873525,0.988876356,0.940238409,0.847464848,0.795271138,0.664188511,0.333664309,0.323556131,0.305443805,0.621670293,1.389664284,-10.49424407,0.261066997
1006_1330994,1,0.984349807,0.794564051,0.514331187,0.445140747,0.254996833,0.106822906,0.061990108,0.043548615,0.043118015,0.358233541,0.890355291,-6.573221698,0.015076431
60_905958,1,0.96504565,0.960600559,0.965348653,0.967017545,0.893454613,0.086097819,0.020174986,0.01829193,0.016615106,0.608334926,1.04870011,-44.82058383,0.018173389
1050_908451,1,0.967684555,0.988053666,0.908163596,0.849535101,0.889810858,0.831150216,0.662197385,0.372640059,0.34365241,0.754584719,1.52008429,-13.35381329,0.284154282
60_753621,1,0.991823286,0.96906468,0.930392235,0.899562153,0.679579804,0.147540128,0.130967587,0.12031381,0.08124519,0.572816668,1.166668573,-29.48159906,0.10551175
293_1331034,1,0.997528411,0.482418395,0.423552963,0.097197979,0.040679513,0.011678452,0.00483658,0.008083044,0.001000789,0.250418678,0.871414228,-9.772349085,2.41E-11
176_908158,1,0.967870576,0.997447146,0.83577276,0.863439695,0.431471784,0.016949352,0.006960312,0.003946108,0.004197691,0.543086187,1.050404901,-23.25186471,2.63E-23
136_1298219,1,0.954158773,0.842923414,0.673276589,0.700811969,0.482351994,0.462075727,0.309544401,0.075657037,0.051225603,0.556393622,0.960101815,-4.853730723,7.49E-20
276_924151,1,0.951042049,0.865049076,0.75039074,0.472392753,0.338172876,0.218061586,0.079686633,0.037239488,0.026663494,0.449253425,0.952659137,-6.927212185,0.001297663
305_1330935,1,0.963360662,0.897564395,0.752431252,0.442191156,0.208832445,0.09698362,0.053227252,0.036497397,0.040296492,0.41675959,1.04064073,-11.40832443,0.037375528
1012_949153,1,0.991647541,0.937464589,0.83635487,0.517863123,0.264485547,0.079547837,0.043715612,0.029451323,0.032583891,0.450446976,1.021873087,-12.13727499,0.025989504
299_905985,1,0.967783849,0.843535797,0.794065453,0.556372153,0.361733198,0.277886191,0.24485367,0.242315485,0.218173948,0.390422601,1.293326816,-9.935709345,0.221815351
273_907792,1,0.97955685,0.970348715,0.946109991,0.940551815,0.856581947,0.764477707,0.122064104,0.041344656,0.032063689,0.706330307,1.087239244,-30.80345617,0.03167219
200_1290725,1,0.985499964,0.998868394,0.881644117,0.623558065,0.449601463,0.243004452,0.118676497,0.084412612,0.037246366,0.506819918,1.010013712,-8.900923642,0.040230069
272_905969,1,0.959851364,0.947851091,0.785300187,0.603915163,0.451841965,0.29419836,0.141519998,0.097779197,0.06838207,0.499889716,0.994240872,-6.870765754,0.03299227
265_906856,1,0.972205973,0.945149343,0.966598625,0.945717338,0.67151459,0.164653865,0.261915521,0.020137595,0.026334291,0.57590955,1.137300845,-24.5981874,0.093282676
200_905939,1,0.986731374,0.832469173,0.620332882,0.226653217,0.051858975,0.025233477,0.042665787,0.018719918,0.020131386,0.356008858,1.021104004,-14.39113136,0.018302668
328_907061,1,0.992048267,0.944653075,0.913368094,0.674818728,0.359581762,0.218887235,0.162985813,0.177681187,0.152098576,0.46523884,1.207570387,-14.6781635,0.161876393
273_753547,1,0.951944458,0.929727894,0.891551304,0.842656697,0.378133293,0.031846779,-0.015947084,-0.014469161,-0.016130284,0.534192518,1.056755223,-22.70645865,1.08E-23
274_910911,1,0.997240577,0.850703823,0.81557154,0.729746182,0.619364764,0.366566906,0.178456014,0.062398624,0.017219913,0.594459184,1.031149334,-7.734346101,5.24E-25
200_908143,1,0.961533767,0.858127205,0.72287011,0.558063956,0.525838255,0.382596656,0.315768073,0.290386233,0.295816907,0.343178719,1.198542191,-5.836957266,0.260824686
328_1503362,1,0.978957398,0.775135206,0.528977649,0.368460676,0.293880629,0.262123868,0.302543469,0.302594357,0.317630101,0.253028766,1.362024695,-13.71531277,0.293773598
1022_910851,1,0.986044212,0.970665712,0.948223126,0.902046694,0.683040142,0.332346351,0.124911506,0.088306014,0.082722966,0.596703831,1.101063984,-14.80194012,0.073419409
194_909735,1,0.996779478,0.930281058,0.795738638,0.334904201,0.034120172,0.016713154,0.021554194,0.048228768,0.037850881,0.402568727,1.039237713,-19.89587092,0.023249559
200_713899,1,0.983097579,0.931052323,0.881612622,0.584557466,0.203556933,0.099033381,0.056490133,0.031233371,0.021099359,0.459794626,1.057633978,-15.59683983,0.037558937
135_910852,1,0.966710106,0.930561533,0.953966705,0.86237022,0.87833895,0.55331762,0.266445142,0.160736644,0.163344663,0.656173487,1.251387406,-16.9464355,0.15223557
308_910695,1,0.984056681,0.944915041,0.945254876,0.868443477,0.893995051,0.692666344,0.246361176,0.125157255,0.10090323,0.697082977,1.17711234,-20.20742549,0.098517507
135_1330947,1,0.987077245,0.949201466,0.667223473,0.299489824,0.15489436,0.14201914,0.14089492,0.136079433,0.141108134,0.352221148,1.156963169,-18.17087144,0.138298842
200_1240160,1,0.959680087,0.926389109,0.877897929,0.903280009,0.98670063,0.044529283,0.016597856,0.010818114,0.00765822,0.633075003,1.074288187,-100,0.011531698
1026_906820,1,0.973581543,0.965694096,0.869916955,0.612798703,0.367368911,0.133892116,0.055567606,0.042525124,0.051484651,0.4856209,1.034422096,-11.36100123,0.03380623
170_907799,1,0.957533463,0.950697315,0.879546837,0.897648626,0.818415695,0.450140986,0.099410859,0.011735366,0.005524593,0.657096871,1.060092239,-17.45877483,3.95E-18
194_909720,1,0.978731151,0.69813875,0.840883244,0.900524808,0.076924616,0.010843412,0.010915617,0.00277514,0.000435154,0.529907159,1.139665393,-100,0.006233769
219_906861,1,0.968462762,0.91780191,0.938410112,0.798679143,0.701921107,0.321487668,0.158964555,0.163293835,0.188942753,0.574551921,1.25319057,-15.27940309,0.152692481
219_1298348,1,0.990448132,0.975122547,0.937666485,0.580086463,0.158188115,0.091755743,0.090095771,0.083227607,0.087135612,0.447944078,1.106425823,-23.48408258,0.086211228
153_906856,1,0.996458867,0.940363434,0.895589925,0.892372408,0.665896293,0.42310964,0.120923641,0.033678632,0.024225348,0.628942069,1.028565785,-11.53664541,1.71E-18
104_909260,1,0.959990367,0.962431102,0.983129594,0.950387974,0.596074907,0.067134446,0.016878873,0.010074892,0.011903919,0.569086846,1.036951801,-28.9685863,0.011960337
272_907068,1,0.983465768,0.948419222,0.902666155,0.750766718,0.674116548,0.398652669,0.180624483,0.108315514,0.076699316,0.607802936,1.035203301,-8.443143166,0.024056317
219_910925,1,0.974902807,0.932416795,0.67522496,0.268195739,0.173333377,0.134196425,0.208538489,0.182099673,0.182662463,0.344634592,1.232633887,-22.13402901,0.173933377
180_753534,1,0.956198899,0.727114052,0.64534073,0.51093445,0.307259638,0.196059914,0.1132825,0.221499539,0.208097181,0.330864899,1.101134112,-7.270796417,0.156692485
170_949155,1,0.992783688,0.96267411,0.812366514,0.747290977,0.093836765,0.016143483,0.014084579,0.011474273,0.010548525,0.48250289,1.066619946,-30.31855394,0.00955949
