DRUG_COSMICID,R2_Score
200_687819,0.830236779800147
1012_753594,0.9056483126236063
1024_905965,0.8355950771676297
1149_1247871,0.8340681889038443
173_907280,0.8030888998505922
53_1330982,0.3535888522148968
180_905955,-0.2530632251684859
167_753576,0.8273099363413207
182_722058,0.8048995745379113
200_909756,0.7445112765350395
274_1303900,0.8691799328585323
1031_909738,0.874865863918531
201_713899,0.31928958441375166
200_906869,0.7765101087217516
273_907058,0.8655060894419062
308_1503361,0.8891194819933596
182_1240154,0.0473453310287677
170_909260,0.8570680637189665
179_907277,0.8166166703903345
229_1323913,0.7161996686250067
201_909761,0.07027691028808081
200_1240160,0.6644903371310031
276_909256,0.8045934045898113
203_949166,0.7576202493742825
133_1240216,0.884080616968081
346_753556,0.3207404230962573
1004_907799,0.7240910699878118
167_724834,0.27602195077465075
346_753538,0.6521948398099535
235_910687,0.8415714198969962
157_1322218,0.8173212739837632
194_924238,0.7584628285875032
170_753608,0.7624243320425474
228_909743,0.7883438467861774
172_906833,0.2752020412088334
274_1240166,0.8476506012084293
302_753539,0.9924222787384996
274_1330941,0.7320189734835882
273_907287,0.6505318536871522
203_1331033,0.36751231245216553
86_749713,0.6882107487557121
159_906854,0.8268512116576505
273_909784,0.8165950471277378
1031_1298475,0.8887320209129973
165_909759,-0.10091361949808464
9_907053,0.6296360068286898
200_908125,0.8470128271241515
167_909700,0.9427745694689077
41_687799,0.6387716925858877
53_1297447,0.1142174873179046
60_1327768,0.7013376677461834
272_688006,0.8329430790112438
201_753548,0.8057875083690467
344_1524416,0.7533981439723957
235_907268,0.5845367661560634
88_1330985,0.7285650393728759
182_910903,0.6944353282594862
170_907271,0.7221233299394889
201_906793,0.4065653865533102
167_1290806,-0.05605507144275279
104_908149,0.66917221251858
256_724872,0.43249931093085503
157_907278,0.7524529528330799
179_910930,0.712598723440908
170_1330947,0.6227255246725381
235_910853,0.6609833674373108
180_910704,0.4381490171459973
1026_907317,0.8699877230108004
330_949088,0.9094823455304081
53_924247,0.47497659019837046
208_906871,0.3778363932390535
170_1240205,-0.15907686803942012
273_1240218,0.3394509043779017
273_1290809,0.8316017669436929
269_909729,0.47097829270779423
225_1240145,0.8149858151596199
1012_906836,0.7910241659596549
157_924110,0.8756499766059707
274_908467,0.5450570052214714
274_1298222,0.8602519936420197
134_1330985,0.8399875137310773
135_905983,0.759905126574044
194_1240139,0.7687767376796091
219_910930,0.6340361401036718
152_1331040,0.651452494860419
53_906869,-0.12249463023704155
346_749711,0.3398871467569775
268_753549,0.764840048533644
104_1330983,0.7968647154980648
1007_905948,0.5817610931110649
272_910549,0.9487745630350409
170_1290730,0.651860903153063
157_753616,0.6987434387683376
308_908449,0.9284908921873558
274_1480360,0.8063099726197629
1012_949166,0.8719043069179341
45_1330933,0.127693027217196
170_909756,0.5721256247558633
