,Property,Value,Source
0,melting point (°C),186-188,"Hunter, J.H.; U S . Patent 3,116,282; December 31,1963; assigned to The Upjohn Company."
1,water solubility,Freely soluble,Not Available
2,logP,-2.8,Not Available
