,Target,Actions,Organism
0,APoly [ADP-ribose] polymerase 1,antagonist,Humans
1,APoly [ADP-ribose] polymerase 2,antagonist,Humans
2,APoly [ADP-ribose] polymerase 3,antagonist,Humans
