,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),102.0,,,7636843 / 10585206
1,EC 50 (nM),17.0,,,19058965
2,EC 50 (nM),191.0,,,8308867 / 8784454
3,EC 50 (nM),21.0,,,11428923
4,EC 50 (nM),220.0,,,12482435
5,EC 50 (nM),23.0,,,7650690
6,EC 50 (nM),240.0,,,11277515 / 12372520
7,EC 50 (nM),27.0,,,8410972
8,EC 50 (nM),304.0,,,8709094
9,EC 50 (nM),350.0,,,8308867 / 8784454
10,EC 50 (nM),436.0,,,12482435
11,EC 50 (nM),45.0,,,8410972
12,EC 50 (nM),459.0,,,8978832
13,EC 50 (nM),5.0,,,7636843 / 10585206
14,EC 50 (nM),563.0,,,8709094
15,EC 50 (nM),6.31,,,19239230
16,EC 50 (nM),7.0,,,7490725
17,IC 50 (nM),0.78,,,10762038
18,IC 50 (nM),0.89,,,10762039
19,IC 50 (nM),15.0,,,8308867
20,IC 50 (nM),7.0,,,8308867
21,IC 50 (nM),9000.0,,,15615521
22,Kd (nM),14.0,,,11277515 / 12372520
23,Kd (nM),15.0,,,8759622 / 8978832 / 10098666 / 10098670 / 12482435
24,Kd (nM),16.0,,,10585206
25,Kd (nM),2.3,,,8691435
26,Kd (nM),90.0,,,11428923
27,Kd (nM),93.0,,,10098670 / 12482435
28,Ki (nM),16.0,,,8544175
29,Ki (nM),187.0,,,8709094
30,Ki (nM),22.3,,,8709094
31,Ki (nM),3.3,,,9435893
