,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),1100,,,8308867 / 8784454
1,EC 50 (nM),1225,,,8709094
2,EC 50 (nM),140,,,8308867 / 8784454
3,EC 50 (nM),2,,,7650690
4,EC 50 (nM),219,,,8709094
5,EC 50 (nM),4.3,,,7650690
6,EC 50 (nM),4.5,,,11428923
7,IC 50 (nM),350,,,8308867
8,IC 50 (nM),4,,,8308867
9,Kd (nM),>0.001,,,10098670
10,Kd (nM),14,,,10098670 / 12482435
11,Kd (nM),30,,,11428923
12,Kd (nM),306,,,12482435
13,Ki (nM),1.4,,,12161154
14,Ki (nM),11,,,9435893
15,Ki (nM),120,,,9435893
16,Ki (nM),13,,,8709094
17,Ki (nM),14,,,8765503
18,Ki (nM),288,,,8709094
