,Target,Actions,Organism
0,UMitogen-activated protein kinase 14,Not Available,Humans
1,UTumor necrosis factor,Not Available,Humans
2,UInterleukin-1 beta,Not Available,Humans
3,UInterleukin-6,Not Available,Humans
