,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),100.0,,,14698179 / 21417297
1,IC 50 (nM),110.6,,,18672316
2,IC 50 (nM),118.0,,,
3,IC 50 (nM),120.0,,,22738629
4,IC 50 (nM),14.0,,,18642892 / 19419863 / 20055418
5,IC 50 (nM),144.0,,,23547652
6,IC 50 (nM),160.0,,,23252603
7,IC 50 (nM),18.0,,,
8,IC 50 (nM),19.0,,,18558669 / 23570542
9,IC 50 (nM),19.8,,,21712146
10,IC 50 (nM),195.0,,,21476600
11,IC 50 (nM),2.0,,,23368884
12,IC 50 (nM),200.0,,,19084395
13,IC 50 (nM),21.6,,,18430569
14,IC 50 (nM),210.0,,,22280363 / 23116147
15,IC 50 (nM),25.0,,,18247554 / 21080629
16,IC 50 (nM),26.0,,,20472442
17,IC 50 (nM),27.0,,,22260166
18,IC 50 (nM),28.0,,,19419205
19,IC 50 (nM),28.6,,,
20,IC 50 (nM),30.0,,,21080647
21,IC 50 (nM),34.0,,,21745740
22,IC 50 (nM),350.0,,,20452225
23,IC 50 (nM),38.0,,,18060775
24,IC 50 (nM),43.0,,,18809328 / 19410459 / 19441846
25,IC 50 (nM),43.0,7.5,37.0,18308563 / 18370373
26,IC 50 (nM),5.0,,,22439863
27,IC 50 (nM),52.0,,,19301902
28,IC 50 (nM),57.3,,,21721525
29,IC 50 (nM),74.0,,,21889343 / 23089527
30,IC 50 (nM),800.0,,,19854643
31,IC 50 (nM),85.0,,,20947351
32,IC 50 (nM),85.5,,,20669972
33,IC 50 (nM),9.0,,,19966789
34,IC 50 (nM),9.3,,,20637529
35,IC 50 (nM),90.0,7.5,25.0,18494463
36,Kd (nM),300.0,,,22182579
37,Ki (nM),1.0,,,18430569
38,Ki (nM),126.0,,,20451378
39,Ki (nM),18.0,,,20451378
40,Ki (nM),29.0,,,21634430
