,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),122.0,,,7650690
1,EC 50 (nM),20.0,,,10052980
2,Ki (nM),29.0,,,10052980
3,Ki (nM),8.3,,,9435893
