,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),>0.001,,,7636843
1,EC 50 (nM),1.5,,,11428923
2,EC 50 (nM),100,,,8308867 / 8784454
3,EC 50 (nM),1015,,,12482435
4,EC 50 (nM),1084,,,8709094
5,EC 50 (nM),13,,,7636843 / 8410972 / 10585206
6,EC 50 (nM),195,,,12482435
7,EC 50 (nM),316,,,8709094
8,EC 50 (nM),430,,,8410972
9,EC 50 (nM),530,,,7650690
10,EC 50 (nM),54,,,7650690
11,EC 50 (nM),6,,,7650690
12,EC 50 (nM),900,,,8308867 / 8784454
13,IC 50 (nM),>1000,,,8308867
14,IC 50 (nM),29,,,15317450
15,IC 50 (nM),32,,,8308867
16,Kd (nM),>0.001,,,10098670
17,Kd (nM),>200,,,7608895 / 8809153
18,Kd (nM),1.5,,,16190748
19,Kd (nM),13,,,11428923
20,Kd (nM),13,7.4,4.0,9479476
21,Kd (nM),240,,,18690216
22,Kd (nM),3,,,8809153
23,Kd (nM),30,7.4,4.0,9479476
24,Kd (nM),40,7.4,4.0,9479476
25,Kd (nM),50,,,12182871
26,Kd (nM),53,,,12482435
27,Kd (nM),8,,,10098670 / 12482435
28,Kd (nM),9,,,7490725
29,Ki (nM),0.4,,,12161154
30,Ki (nM),12,,,9435893
31,Ki (nM),330,,,9435893
32,Ki (nM),350,,,8709094
33,Ki (nM),8,,,8765503
34,Ki (nM),8.4,,,8709094
