,Target,Actions,Organism
0,ATubulin beta-1 chain,Not Available,Humans
1,UApoptosis regulator Bcl-2,Not Available,Humans
2,AMicrotubule-associated protein 2,Not Available,Humans
3,AMicrotubule-associated protein 4,Not Available,Humans
4,AMicrotubule-associated protein tau,Not Available,Humans
5,UNuclear receptor subfamily 1 group I member 2,binder,Humans
