,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),1.0,,,19039322 / 21459579
1,IC 50 (nM),1.2,,,12941315 / 18485715 / 18930653 / 19321350
2,IC 50 (nM),1.2,7.5,30.0,11689083 / 14552782 / 16161995
3,IC 50 (nM),1.8,,,18930653
4,IC 50 (nM),100.0,,,12941315 / 19632113 / 20363128
5,IC 50 (nM),3.6,7.5,37.0,15745832
6,IC 50 (nM),3.8,,,16220969 / 19632113 / 20166671 / 20363128
7,IC 50 (nM),3.8,7.5,37.0,15615514 / 15916442 / 17181170
8,Kd (nM),1.0,,,22037378
