,Property,Value,Source
0,melting point (°C),>360 °C,PhysProp
1,boiling point (°C),534 °C,PhysProp
2,water solubility,Soluble (8430 mg/L),Not Available
3,logP,-0.40,"HANSCH,C ET AL. (1995)"
4,pKa,10.9,"HANSCH,C ET AL. (1995)"
