,Target,Actions,Organism
0,UProtein kinase C beta type,Not Available,Humans
1,UAurora kinase B,Not Available,Humans
2,UAurora kinase A,Not Available,Humans
3,UCyclin-dependent kinase 15,Not Available,Humans
4,USerine/threonine-protein kinase Chk1,Not Available,Humans
5,USerine/threonine-protein kinase Chk2,Not Available,Humans
6,URAC-alpha serine/threonine-protein kinase,Not Available,Humans
7,UPhosphatidylinositol 3-kinase regulatory subunit alpha,Not Available,Humans
