,Property,Value,Source
0,melting point (°C),270 dec °C,PhysProp
1,water solubility,2530 mg/L (at 25 °C),"AMUNDSEN,AR & STERN,EW (1982)"
2,logP,-2.19,"HANSCH,C ET AL. (1995)"
