,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),1.0,,,7490725
1,EC 50 (nM),1.5,,,7636843 / 10585206
2,EC 50 (nM),105.0,,,8709094
3,EC 50 (nM),12.0,,,8410972 / 19058965
4,EC 50 (nM),22.0,,,8410972
5,EC 50 (nM),25.12,,,19239230
6,EC 50 (nM),29.0,,,12482435
7,EC 50 (nM),3.0,,,11428923
8,EC 50 (nM),3.3,,,7636843 / 10585206
9,EC 50 (nM),38.0,,,11277515 / 12372520
10,EC 50 (nM),50.0,,,8308867 / 8784454
11,EC 50 (nM),52.0,,,8709094
12,EC 50 (nM),6.31,,,19239230
13,EC 50 (nM),78.0,,,12482435
14,EC 50 (nM),80.0,,,8308867 / 8784454
15,EC 50 (nM),87.0,,,8978832
16,IC 50 (nM),0.9,,,10762038
17,IC 50 (nM),0.94,,,10762039
18,IC 50 (nM),13.0,,,8308867
19,IC 50 (nM),3000.0,,,15615521
20,IC 50 (nM),7.0,,,8308867
21,Kd (nM),0.4,,,8691435
22,Kd (nM),100.0,,,11428923
23,Kd (nM),11.0,,,11277515 / 12372520
24,Kd (nM),12.0,,,7490725
25,Kd (nM),13.0,,,8759622 / 8978832 / 10098666 / 10098670
26,Kd (nM),17.0,,,12482435
27,Kd (nM),7.0,,,10585206
28,Kd (nM),97.0,,,10098670 / 12482435
29,Ki (nM),10.9,,,8709094
30,Ki (nM),17.4,,,8709094
31,Ki (nM),4.1,,,9435893
32,Ki (nM),7.0,,,8544175
