,Target,Actions,Organism
0,ATubulin alpha-1A chain,adduct,Humans
1,ATubulin beta chain,adduct,Humans
2,ATubulin delta chain,adduct,Humans
3,ATubulin gamma-1 chain,adduct,Humans
4,ATubulin epsilon chain,adduct,Humans
5,NTranscription factor AP-1,other/unknown,Humans
