,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),16,,,22694093
1,IC 50 (nM),3,,,20570526
2,Kd (nM),16,,,15711537 / 18077425
3,Kd (nM),95,,,18183025 / 19654408 / 22037378
