,Property,Value,Source
0,melting point (°C),"61 °C (FAB fragment), 71 °C (whole mAb)","Vermeer, A.W.P. & Norde, W., Biophys. J. 78:394-404 (2000)"
1,hydrophobicity,-0.413,Not Available
2,isoelectric point,8.48,Not Available
