,Property,Value,Source
0,melting point (°C),233.5 °C,PhysProp
1,water solubility,121 mg/L,Not Available
2,logP,2.69,"HANSCH,C ET AL. (1995)"
3,pKa,7.34 (at 20 °C),"PERRIN,DD (1972)"
