,Target,Actions,Organism
0,APoly [ADP-ribose] polymerase 1,inhibitor,Humans
1,APoly [ADP-ribose] polymerase 2,inhibitor,Humans
2,APoly [ADP-ribose] polymerase 3,inhibitor,Humans
