,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),1.7,,,22439863
1,IC 50 (nM),100.0,,,19084294 / 21548582
2,IC 50 (nM),101.0,,,23570542
3,IC 50 (nM),11.0,,,23368884
4,IC 50 (nM),16.0,,,21721525
5,IC 50 (nM),163.6,,,18672316
6,IC 50 (nM),164.0,7.5,25.0,18494463
7,IC 50 (nM),170.0,,,18060775
8,IC 50 (nM),180.0,,,
9,IC 50 (nM),200.0,,,19699639 / 22771007
10,IC 50 (nM),210.0,,,20452225
11,IC 50 (nM),24.0,,,21080647
12,IC 50 (nM),240.0,,,21417297
13,IC 50 (nM),250.0,,,19419205
14,IC 50 (nM),256.0,,,
15,IC 50 (nM),256.4,,,23581848
16,IC 50 (nM),260.0,,,22771007
17,IC 50 (nM),282.0,,,18642892 / 19419863 / 20055418
18,IC 50 (nM),36.0,,,20472442
19,IC 50 (nM),390.0,,,20637529
20,IC 50 (nM),400.0,,,19966789
21,IC 50 (nM),537.0,,,
22,IC 50 (nM),66.0,,,21334896 /
23,IC 50 (nM),72.0,,,20392638
24,IC 50 (nM),73.0,,,14698179
25,IC 50 (nM),76.0,,,20392638
26,IC 50 (nM),780.0,,,23116147
27,IC 50 (nM),82.0,,,18809328 / 19410459 / 19441846
28,IC 50 (nM),82.0,8.0,37.0,18370373
29,IC 50 (nM),920.0,,,23252603
30,IC 50 (nM),921.0,,,
31,Ki (nM),40.0,,,20451378
32,Ki (nM),42.0,,,21634430
