,Property,Value,Source
0,melting point (°C),195 °C,http://www.chemspider.com/Chemical-Structure.112728.html?rid=5b5d388b-5afb-4024-803b-99539fa66a77
1,logP,-1.85,"HANSCH,C ET AL. (1995)"
2,Caco2 permeability,-5.92,"ADME Research, USCD"
3,pKa,4.7,SANGSTER (1994)
