,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),2400.0,,,9526565
1,IC 50 (nM),2600.0,,,7658448
2,IC 50 (nM),3650.0,,,8632434 / 9191966 / 11472209
3,IC 50 (nM),3700.0,,,9357537
4,IC 50 (nM),390.0,,,8632434 / 9357537 / 9526565 / 10090784
5,IC 50 (nM),6000.0,,,18605720 / 22739090
6,Kd (nM),1.4,,,1495020
7,Kd (nM),1.5,,,1495020
8,Kd (nM),13.0,,,1495020
9,Kd (nM),16.0,,,1495020
10,Ki (nM),0.19,,,1495020
11,Ki (nM),1.2,,,1495020
12,Ki (nM),1.5,,,12825927
13,Ki (nM),10.0,,,1495020
14,Ki (nM),11.0,,,10543874
15,Ki (nM),120.0,,,10543874
16,Ki (nM),2.0,,,1495020
17,Ki (nM),20.0,,,1495020
18,Ki (nM),250.0,,,10543874
19,Ki (nM),30.8,,,20350951
20,Ki (nM),5.2,,,1495020
21,Ki (nM),8.0,,,11881993
22,Ki (nM),98.0,,,10543874
