,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),>1000,7.4,22.0,12825935 / 15658851
1,IC 50 (nM),1660,,,20553023 / 22647217
2,IC 50 (nM),170,,,18835176
