,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),1394,,,8709094
1,EC 50 (nM),1400,,,8308867 / 8784454
2,EC 50 (nM),2.6,,,7650690
3,EC 50 (nM),200,,,8308867 / 8709094 / 8784454
4,EC 50 (nM),29,,,11428923
5,EC 50 (nM),4.5,,,7650690
6,IC 50 (nM),>1000,,,8308867
7,IC 50 (nM),12,,,8308867
8,Kd (nM),>0.001,,,10098670
9,Kd (nM),15,,,10098670
10,Kd (nM),35,,,11428923
11,Ki (nM),0.5,,,12161154
12,Ki (nM),3.8,,,9435893
13,Ki (nM),54,,,9435893
14,Ki (nM),7.4,,,8709094
15,Ki (nM),881,,,8709094
16,Ki (nM),9,,,8765503
