,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),>25000,,,21982796
1,IC 50 (nM),14000,,,12036347 / 18077363
2,IC 50 (nM),22000,7.2,30.0,15985434
3,Kd (nM),>10000,,,18183025
