,Target,Actions,Organism
0,AHistone deacetylase 1,inhibitor,Humans
1,AHistone deacetylase 2,inhibitor,Humans
2,AHistone deacetylase 3,inhibitor,Humans
3,AHistone deacetylase 6,inhibitor,Humans
4,UHistone deacetylase 8,Not Available,Humans
5,UAcetoin utilization protein,Not Available,Aquifex aeolicus (strain VF5)
