,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),1.0,,,20166671
1,IC 50 (nM),1.0,7.5,23.0,14684309
2,IC 50 (nM),20.0,,,17981366 / 20550212 / 20961149
3,IC 50 (nM),21.0,,,19969465
4,IC 50 (nM),22.0,,,19170633
5,IC 50 (nM),23.0,,,16806916
6,IC 50 (nM),33.0,,,16516473 / 19665377 / 20056425 / 20304535
7,IC 50 (nM),39.0,,,17889528
8,Kd (nM),1.8,,,15711537
9,Kd (nM),35.3,,,19239229
