,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),16.0,,,20833039
1,IC 50 (nM),21.0,,,20166671
2,IC 50 (nM),3.0,,,20833039
3,IC 50 (nM),550.0,,,20117004
4,IC 50 (nM),6.5,,,20570526
5,IC 50 (nM),8.0,,,22221201
6,IC 50 (nM),9.9,,,19654408
7,Kd (nM),0.22,,,22037378
8,Kd (nM),0.41,,,22037378
9,Kd (nM),0.47,,,18183025 / 19654408 / 19754199
10,Kd (nM),0.8,,,15711537 / 18077425
11,Kd (nM),0.99,,,18183025 / 22037378
12,Kd (nM),11.0,,,22037378
13,Kd (nM),2.3,,,18183025 / 22037378
14,Kd (nM),2.4,,,18183025 / 22037378
15,Kd (nM),4.3,,,18183025 / 22037378
