,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),350,,,15454230
1,IC 50 (nM),127000,,,7699697
2,IC 50 (nM),17000,,,11430001
3,IC 50 (nM),20000,,,15974606
4,IC 50 (nM),2200,,,20662543
5,IC 50 (nM),300,,,15801827
6,IC 50 (nM),4000,,,11430001
7,IC 50 (nM),679,,,7853331
8,IC 50 (nM),680,,,8410981
9,IC 50 (nM),700,,,7707314 / 9003520 /
10,IC 50 (nM),9000,,,11430001
