,Property,Value,Source
0,melting point (°C),139-143,Thermo Fisher Scientific Bortezomib Safety Data Sheet
1,water solubility,"The solubility of bortezomib, as the monomeric boronic acid, is 3.3 to 3.8 mg/mL in a pH range of 2 to 6.5.",Not Available
