,Property,Value,Source
0,melting point (°C),229-231 °C,PhysProp
1,water solubility,Soluble,Not Available
2,logP,1.27,"HANSCH,C ET AL. (1995)"
3,Caco2 permeability,-6.8,"ADME Research, USCD"
