,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),37,,,22694093
1,IC 50 (nM),57,,,16783341 / 20166671
2,Kd (nM),37,,,18183025 / 19654408 / 22037378
3,Kd (nM),41,,,15711537 / 18077425
