,Target,Actions,Organism
0,APlatelet-derived growth factor receptor beta,inhibitor,Humans
1,AVascular endothelial growth factor receptor 1,inhibitor,Humans
2,AMast/stem cell growth factor receptor Kit,inhibitor,Humans
3,AVascular endothelial growth factor receptor 2,inhibitor,Humans
4,AVascular endothelial growth factor receptor 3,inhibitor,Humans
5,AReceptor-type tyrosine-protein kinase FLT3,inhibitor,Humans
6,AMacrophage colony-stimulating factor 1 receptor,inhibitor,Humans
7,APlatelet-derived growth factor receptor alpha,inhibitor,Humans
