,Property,Value,Source
0,melting point (°C),282-283,"Heidelberger, C. and Duschinsky, R.; US. Patent 2,802,005; August 6, 1957. Heidelberger, C. and Duschinsky, R.; U.S.Patent 2,885,396; May 5, 1959."
1,water solubility,1.11E+004 mg/L (at 22 °C),"BURR,A & BUNDGAARD,H (1985)"
2,logP,-0.89,"HANSCH,C ET AL. (1995)"
3,logS,-1.07,"ADME Research, USCD"
4,pKa,8.02,SANGSTER (1994)
