,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),13.0,,,22222036
1,IC 50 (nM),160.0,,,22808911
2,IC 50 (nM),160.0,7.0,22.0,18287029
3,IC 50 (nM),46.0,,,22808911
4,Kd (nM),100.0,,,22037378
5,Kd (nM),330.0,,,22037378
6,Ki (nM),2.6,,,22808911
