,Target,Actions,Organism
0,UCyclin-dependent kinase 1,Not Available,Humans
1,UCyclin-dependent kinase 2,Not Available,Humans
2,UMitogen-activated protein kinase 3,Not Available,Humans
3,UMitogen-activated protein kinase 1,Not Available,Humans
4,UCyclin-dependent kinase 7,Not Available,Humans
5,UCyclin-dependent kinase 9,Not Available,Humans
6,UCasein kinase I isoform epsilon,Not Available,Humans
