,Unnamed: 0,CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,per_slope_change_0,per_slope_change_1,per_slope_change_2,per_slope_change_3,per_slope_change_4,per_slope_change_5,per_slope_change_6,per_slope_change_7,slope_0,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,dif_first,dif_last
114494,114494,KARPAS-45,907272,228,228_907272,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965008668,0.832247912,0.682831304,0.572349808,0.359462985,0.1593734,0.012945473,0.010320718000000001,0.010325703,2.794105,0.12545764,-0.26058084,0.92689955,-0.060112655,-0.26818812,-0.98207474,-1.0018989999999999,-0.31492192,-1.1948469,-1.3447496,-0.99433357,-1.9159808999999997,-1.8008063,-1.3178514,-0.023622794,4.49e-05,0.03499133200000004,4.984999999999018e-06
114512,114512,OVISE,1240198,200,200_1240198,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.981317197,0.899780247,0.7229376040000001,0.656488124,0.7040421609999999,0.467237271,0.151703905,0.043780981,0.047018897000000004,3.3642839999999996,1.1688653999999998,-0.6242453,-1.7156416,-5.9797044,0.33246136,-0.6579666000000001,-1.0300021000000001,-0.16814500000000002,-0.73383254,-1.5915841,-0.59804523,0.42798606,-2.1312439999999997,-2.8398001,-0.9713064,0.02914123,0.018682803000000026,0.0032379160000000073
114673,114673,MKN28,908139,274,274_908139,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.988951537,0.9027351840000001,0.865479028,0.730446695,0.606978994,0.47309399,0.43912599,0.367879401,0.36542930799999995,6.8034925,-0.5678766,2.6244345,-0.08564395,0.084373355,-0.74628973,1.0974618999999999,-0.9656113000000002,-0.099435925,-0.7759475,-0.33530506,-1.2152913,-1.1112089,-1.2049653999999999,-0.30571204,-0.6412194,-0.02205071,0.011048462999999953,0.002450093000000042
114782,114782,KGN,924186,272,272_924186,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.960798253,0.928472581,0.6654420129999999,0.700600578,0.41890361299999995,0.25847747600000004,0.108231848,0.028725404,0.011507426999999999,-0.17540169,7.1368914,-1.1336671999999999,-9.01218,-0.43050075,-0.06345916,-0.47082365,-0.7834392,-0.35281563,-0.29093117,-2.3672752,0.3164272,-2.535272,-1.4438354,-1.3522108,-0.715558,-0.15496179999999998,0.03920174700000001,0.017217977000000002
114803,114803,A673,684052,173,173_684052,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.968118555,0.9012647420000001,0.775081892,0.749791373,0.57765437,0.355790524,0.181993837,0.233015085,0.195514833,1.0969503,0.887444,-0.7995727,5.8063917,0.28887963,-0.21665162,-1.2935686000000002,-1.734993,-0.28693306,-0.6016844,-1.1356456,-0.22761442,-1.5492328000000002,-1.9967747,-1.5641702,0.45919126,-0.33750240000000004,0.03188144500000001,0.03750025200000001
114811,114811,NCI-SNU-1,908444,274,274_908444,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9885587779999999,0.8624640720000001,0.743867965,0.488255339,0.331277288,0.11181948800000001,0.090220765,0.072234683,0.032303498,10.021078,-0.05946827,1.1553216,-0.38587534,0.39801598,-0.9015814,-0.16726196,1.2201159,-0.10297108,-1.1348523000000001,-1.0673646,-2.3005139999999997,-1.4128023,-1.9751202,-0.19438855,-0.16187474,-0.3593807,0.011441222000000084,0.039931184999999994
114837,114837,MC-IXC,908118,176,176_908118,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.953280604,0.9063705040000001,0.93525127,0.9245464409999999,0.9662324040000001,0.9518596840000001,0.9154034959999999,0.025332342,0.010294270999999999,0.004082561,-1.6156621,-1.3706576000000001,-4.8941126,-1.3447851,1.53649,23.414791,-0.98310465,-0.42047435,-0.42219096,0.25992694,-0.09634388,0.3751739,-0.12935437,-0.32810608,-8.010641,-0.13534266,0.04671939599999997,0.015038071000000002
114839,114839,CHP-212,906820,275,275_906820,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97916171,0.9405658240000001,0.8517024329999999,0.646485025,0.5923506510000001,0.387775945,0.24923981399999998,0.20413700899999998,0.186444935,0.8521658000000001,1.3024035,1.3093591,-0.73620975,2.779018,-0.32280904,-0.67443293,-0.607739,-0.18754435,-0.34736323,-0.7997703,-1.8469567999999998,-0.48720923,-1.8411724999999999,-1.2468253,-0.40592527,-0.15922868,0.020838290000000037,0.017692073999999974
114848,114848,CHL-1,910853,170,170_910853,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.976703254,0.7402101520000001,0.310465082,0.017889645,0.007786611,0.007177288,0.009033643000000001,0.008725196,0.007682534,9.151322,0.81715727,-0.31918836,-0.96546865,-0.9396890999999999,-4.0465856,-1.1661571000000002,2.3803656,-0.20967096,-2.1284375,-3.8677056000000003,-2.633179,-0.09092729,-0.005483907,0.016707191,-0.00277602,-0.009383961,0.02329674599999998,0.0010426619999999989
114887,114887,GT3TKB,907041,170,170_907041,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.985472701,0.9894499040000001,0.8889814540000001,0.286965554,0.033360355,0.023588806,0.012621852,0.027300007,0.036183817,-1.2737764999999999,-26.260853,4.9920897,-0.57874024,-0.9614693999999999,0.122335434,-2.3383985000000003,-0.39475995,-0.13074589,0.035795152000000004,-0.90421605,-5.418143700000001,-2.2824461,-0.08794394,-0.0987026,0.13210341,0.079954274,0.014527299000000049,0.008883809999999999
